<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20210101,000000,28990.0800000,29688.8800000,28700.0000000,29412.8400000,15683
20210102,000000,29413.2900000,33300.0000000,29039.0000000,32225.9100000,31426
20210103,000000,32222.8800000,34810.0000000,32008.6200000,33080.6600000,22304
20210104,000000,33082.8400000,33666.9900000,27678.0000000,32019.9900000,26318
20210105,000000,32020.2200000,34499.6700000,29891.1300000,34030.6400000,28036
20210106,000000,34043.9100000,37000.0000000,33352.5400000,36859.2600000,29427
20210107,000000,36859.2600000,40425.0000000,36200.0000000,39505.5600000,28985
20210108,000000,39510.5500000,41986.3700000,36565.0800000,40665.1500000,24196
20210109,000000,40642.1500000,41406.9400000,38800.0000000,40257.4300000,13985
20210110,000000,40257.4300000,41452.1200000,34444.0000000,38171.5700000,24023
20210111,000000,38168.8900000,38273.8800000,30100.0000000,35452.5900000,56825
20210112,000000,35456.8900000,36604.5100000,32500.0000000,34038.9800000,28670
20210113,000000,34035.5300000,37888.0000000,32309.0400000,37393.6600000,24733
20210114,000000,37393.6700000,40127.6600000,36751.1100000,39125.1400000,19363
20210115,000000,39123.0500000,39697.0000000,34298.9300000,36754.6700000,21846
20210116,000000,36754.6000000,37948.0000000,35372.5900000,36006.9400000,12263
20210117,000000,36004.8000000,36860.0000000,33850.0300000,35820.0000000,10731
20210118,000000,35820.0100000,37402.0000000,34736.4600000,36624.2300000,8963
20210119,000000,36624.2300000,37857.0000000,35895.1100000,35917.2800000,10692
20210120,000000,35921.9100000,36415.3400000,33387.0100000,35503.0900000,13015
20210121,000000,35498.8500000,35628.2400000,30011.0000000,30855.9500000,28196
20210122,000000,30855.9000000,33867.0000000,28732.0000000,32984.9300000,28975
20210123,000000,32982.6600000,33488.7900000,31432.1900000,32112.0100000,9577
20210124,000000,32110.0000000,33086.5300000,30931.2100000,32288.5600000,7813
20210125,000000,32293.1800000,34888.0000000,31920.8000000,32261.8700000,13833
20210126,000000,32260.5200000,32960.3700000,30830.0000000,32510.8200000,14057
20210127,000000,32510.8200000,32584.6200000,29156.0000000,30407.1300000,30627
20210128,000000,30414.1100000,34000.0000000,29902.1400000,33488.9900000,24879
20210129,000000,33487.9200000,38664.3300000,31990.0000000,34262.1100000,49607
20210130,000000,34262.1100000,34900.0000000,32852.8600000,34315.6300000,12917
20210131,000000,34315.6300000,34387.7500000,32200.0000000,33137.7400000,9216
20210201,000000,33137.7500000,34728.5700000,32333.0000000,33533.1900000,13217
20210202,000000,33534.3900000,36000.0000000,33450.0000000,35512.6700000,11856
20210203,000000,35513.0000000,37723.7200000,35393.8000000,37678.3700000,14081
20210204,000000,37688.4200000,38769.0000000,36156.4500000,36975.0000000,18808
20210205,000000,36976.5900000,38349.0000000,36605.8700000,38311.4900000,8881
20210206,000000,38327.0900000,41000.0000000,38250.0000000,39265.4300000,14890
20210207,000000,39266.1000000,39737.8300000,37371.3500000,38871.4200000,12012
20210208,000000,38871.4300000,46750.0000000,38057.0100000,46448.1000000,26859
20210209,000000,46453.6600000,48200.0000000,45020.0000000,46514.7300000,18463
20210210,000000,46514.7300000,47349.9900000,43706.8600000,44850.0000000,12595
20210211,000000,44850.0000000,48690.0000000,44011.0000000,47997.9100000,13343
20210212,000000,47993.6000000,48912.0000000,46300.0000000,47408.3400000,11470
20210213,000000,47408.3400000,48199.0000000,46300.0000000,47232.4500000,5130
20210214,000000,47240.7500000,49700.0000000,47100.1300000,48680.6900000,6617
20210215,000000,48667.2300000,49093.4400000,45768.4600000,47936.3700000,8557
20210216,000000,47935.6600000,50645.0000000,47051.2200000,49158.7100000,11620
20210217,000000,49141.4300000,52640.3500000,48942.8700000,52170.0100000,12391
20210218,000000,52170.0100000,52549.9900000,50875.0000000,51601.7300000,6790
20210219,000000,51596.0000000,56370.0500000,50725.0000000,55983.5600000,14152
20210220,000000,55983.5700000,57563.5700000,54000.1000000,55923.5200000,9784
20210221,000000,55921.4400000,58367.0000000,55531.2300000,57489.1600000,6036
20210222,000000,57489.1600000,57577.6900000,46616.0000000,54142.1300000,30682
20210223,000000,54125.6700000,54206.2200000,44888.0800000,48899.9900000,72295
20210224,000000,48899.9900000,51415.4100000,47002.0000000,49737.8200000,30753
20210225,000000,49737.8100000,52107.8300000,46700.0000000,47058.4800000,28005
20210226,000000,47063.9000000,48464.6400000,44150.0000000,46326.2000000,36034
20210227,000000,46319.7900000,48356.8600000,45055.0000000,46180.7500000,16293
20210228,000000,46169.9200000,46656.0000000,43016.0000000,45231.7500000,22745
20210301,000000,45231.7400000,49829.0000000,45042.1300000,49639.4000000,25056
20210302,000000,49635.3000000,50250.0000000,47075.1100000,48511.6000000,17059
20210303,000000,48502.1800000,52666.0000000,48161.7500000,50360.0000000,21300
20210304,000000,50370.3300000,51798.3300000,47502.0000000,48368.5200000,23399
20210305,000000,48370.9700000,49473.9900000,46219.3200000,48769.4700000,25455
20210306,000000,48766.0100000,49210.0000000,47077.0000000,48909.8400000,11887
20210307,000000,48909.8400000,51459.0000000,48909.8300000,50978.6100000,13967
20210308,000000,50976.2200000,52425.0000000,49328.6200000,52415.2300000,18836
20210309,000000,52413.1700000,54936.0000000,51845.0100000,54916.3800000,21185
20210310,000000,54921.6100000,57402.1400000,53025.0000000,55890.6900000,28323
20210311,000000,55888.7000000,58113.0000000,54283.0000000,57815.4700000,24363
20210312,000000,57820.1500000,58065.9200000,55050.0000000,57225.9100000,21751
20210313,000000,57220.8400000,61788.4500000,56083.7400000,61178.5000000,22288
20210314,000000,61181.3800000,61680.0000000,58950.0000000,58972.7000000,13570
