<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20210104,000000,33082.8400000,41986.3700000,27678.0000000,38171.5700000,303802
20210111,000000,38168.8900000,40127.6600000,30100.0000000,35820.0000000,298706
20210118,000000,35820.0100000,37857.0000000,28732.0000000,32288.5600000,189370
20210125,000000,32293.1800000,38664.3300000,29156.0000000,33137.7400000,240147
20210201,000000,33137.7500000,41000.0000000,32333.0000000,38871.4200000,162707
20210208,000000,38871.4300000,49700.0000000,38057.0100000,48680.6900000,94477
20210215,000000,48667.2300000,58367.0000000,45768.4600000,57489.1600000,69330
20210222,000000,57489.1600000,57577.6900000,43016.0000000,45231.7500000,236807
20210301,000000,45231.7400000,52666.0000000,45042.1300000,50978.6100000,138123
20210308,000000,50976.2200000,61788.4500000,49328.6200000,58972.7000000,150316
20210315,000000,58972.7100000,60601.0700000,53221.0000000,57363.3200000,138153
20210322,000000,57377.2900000,58421.6800000,50305.0000000,55778.8200000,130540
20210329,000000,55781.2200000,60055.0200000,54900.0000000,58215.9400000,86632
20210405,000000,58216.7300000,61218.9700000,55400.0000000,59961.1900000,38495
