[2021-05-05T18:54:36.956][0] 	Start SMA.jl 
[2021-05-05T18:54:37.245][0] 	Start kline_BTCUSDT_1m.jl 
[2021-05-05T18:57:18.81][0] 	Start SMA.jl 
[2021-05-05T20:59:21.161][0] 	Start SMA.jl 
[2021-05-05T22:26:20.878][0] 	Start SMA.jl 
[2021-05-06T00:49:21.623][0] 	Start SMA.jl 
[2021-05-06T01:00:14.627][0] 	Start jit_log_updater.jl 
[2021-05-06T04:00:26.786][0] 	Start SMA.jl 
[2021-05-06T06:30:40.458][0] 	Start kline_BTCUSDT_1m.jl 
[2021-05-06T06:47:48.063][0] 	Start SMA.jl 
[2021-05-06T08:04:20.77][0] 	Start SMA.jl 
[2021-05-06T19:51:18.582][0] 	Start SMA.jl 
[2021-05-06T20:02:19.084][0] 	Start SMA.jl 
[2021-05-06T20:27:19.253][0] 	Start SMA.jl 
[2021-05-06T20:50:18.929][0] 	Start SMA.jl 
[2021-05-06T22:10:22.041][0] 	Start SMA.jl 
[2021-05-06T22:12:20.782][0] 	Start SMA.jl 
[2021-05-07T01:00:27.351][0] 	Start jit_log_updater.jl 
[2021-05-07T02:31:22.032][0] 	Start SMA.jl 
[2021-05-07T09:32:30.77][0] 	Start SMA.jl 
[2021-05-07T09:33:29.502][0] 	Start kline_BTCUSDT_1m.jl 
---
[2021-05-07T13:45:20.475][0] 	Start SMA.jl 
[2021-05-07T16:00:23.591][0] 	Start SMA.jl 
[2021-05-07T16:08:20.06][0] 	Start SMA.jl 
[2021-05-07T17:05:22.262][0] 	Start SMA.jl 
[2021-05-07T19:47:20.143][0] 	Start kline_BTCUSDT_1m.jl 
[2021-05-08T01:00:14.059][0] 	Start jit_log_updater.jl 
[2021-05-09T01:00:13.343][0] 	Start jit_log_updater.jl 
[2021-05-10T01:00:11.839][0] 	Start jit_log_updater.jl 
[2021-05-11T01:00:12.195][0] 	Start jit_log_updater.jl 
[2021-05-12T01:00:12.653][0] 	Start jit_log_updater.jl 
[2021-05-13T01:00:12.558][0] 	Start jit_log_updater.jl 
[2021-05-14T01:00:12.3][0] 	Start jit_log_updater.jl 
[2021-05-15T01:00:12.689][0] 	Start jit_log_updater.jl 
[2021-05-16T01:00:12.143][0] 	Start jit_log_updater.jl 
[2021-05-17T01:00:12.517][0] 	Start jit_log_updater.jl 
[2021-05-18T01:00:13.05][0] 	Start jit_log_updater.jl 
[2021-05-19T01:00:12.185][0] 	Start jit_log_updater.jl 
[2021-05-20T01:00:12.278][0] 	Start jit_log_updater.jl 
[2021-05-21T01:00:13.37][0] 	Start jit_log_updater.jl 
[2021-05-22T01:00:12.346][0] 	Start jit_log_updater.jl 
[2021-05-23T01:00:12.572][0] 	Start jit_log_updater.jl 
[2021-05-24T01:00:11.485][0] 	Start jit_log_updater.jl 
[2021-05-25T01:00:11.647][0] 	Start jit_log_updater.jl 
[2021-05-26T01:00:12.592][0] 	Start jit_log_updater.jl 
[2021-05-27T01:00:13.031][0] 	Start jit_log_updater.jl 
[2021-05-28T01:00:13.17][0] 	Start jit_log_updater.jl 
[2021-05-29T01:00:11.715][0] 	Start jit_log_updater.jl 
[2021-05-30T01:00:12.575][0] 	Start jit_log_updater.jl 
[2021-05-31T01:00:13.063][0] 	Start jit_log_updater.jl 
[2021-06-01T01:00:12.57][0] 	Start jit_log_updater.jl 
[2021-06-02T01:00:12.267][0] 	Start jit_log_updater.jl 
[2021-06-03T01:00:13.219][0] 	Start jit_log_updater.jl 
[2021-06-04T01:00:12.838][0] 	Start jit_log_updater.jl 
[2021-06-05T01:00:13.752][0] 	Start jit_log_updater.jl 
[2021-06-06T01:00:13.315][0] 	Start jit_log_updater.jl 
[2021-06-07T01:00:11.924][0] 	Start jit_log_updater.jl 
[2021-06-08T01:00:12.795][0] 	Start jit_log_updater.jl 
[2021-06-09T01:00:13.304][0] 	Start jit_log_updater.jl 
[2021-06-10T01:00:13.941][0] 	Start jit_log_updater.jl 
[2021-06-11T01:00:13.486][0] 	Start jit_log_updater.jl 
[2021-06-12T01:00:12.229][0] 	Start jit_log_updater.jl 
[2021-06-13T01:00:12.991][0] 	Start jit_log_updater.jl 
[2021-06-14T01:00:13.587][0] 	Start jit_log_updater.jl 
[2021-06-15T01:00:14.107][0] 	Start jit_log_updater.jl 
[2021-06-16T01:00:13.633][0] 	Start jit_log_updater.jl 
[2021-06-17T01:00:12.873][0] 	Start jit_log_updater.jl 
