Date(UTC),Pair,Type,Order Price,Order Amount,AvgTrading Price,Filled,Total,status
2021-01-03 09:39:48,BTCUSDT,SELL,34118.01,0.000400,34118.01,0.000400,13.65,Filled
,Date(UTC),Trading Price,Filled,Total,Fee,,,
,2021-01-03 09:45:10,34118.01,0.000400,13.64720400,0.00026744BNB,,,
2021-01-03 00:09:02,BTCUSDT,BUY,0.0,0.000400,32132.92,0.000400,12.86,Filled
,Date(UTC),Trading Price,Filled,Total,Fee,,,
,2021-01-03 00:09:02,32132.92,0.000400,12.85316800,0.00025077BNB,,,
2021-01-03 00:05:02,BTCUSDT,SELL,0.0,0.000400,32159.68,0.000400,12.87,Filled
,Date(UTC),Trading Price,Filled,Total,Fee,,,
,2021-01-03 00:05:02,32159.68,0.000400,12.86387200,0.00025149BNB,,,
2021-01-03 00:04:02,BTCUSDT,BUY,0.0,0.000400,32209.98,0.000400,12.89,Filled
,Date(UTC),Trading Price,Filled,Total,Fee,,,
,2021-01-03 00:04:02,32209.98,0.000400,12.88399200,0.00025167BNB,,,
2021-01-03 00:02:09,BTCUSDT,SELL,0.0,0.000400,32187.90,0.000400,12.88,Filled
,Date(UTC),Trading Price,Filled,Total,Fee,,,
,2021-01-03 00:02:09,32187.90,0.000400,12.87516000,0.00025260BNB,,,
2021-01-02 23:42:03,BTCUSDT,BUY,0.0,0.000400,31850.52,0.000400,12.75,Filled
,Date(UTC),Trading Price,Filled,Total,Fee,,,
,2021-01-02 23:42:03,31850.52,0.000400,12.74020800,0.00024997BNB,,,
2021-01-02 23:41:52,BTCUSDT,SELL,0.0,0.000400,31845.59,0.000400,12.74,Filled
,Date(UTC),Trading Price,Filled,Total,Fee,,,
,2021-01-02 23:41:52,31845.59,0.000400,12.73823600,0.00025041BNB,,,
2021-01-02 23:41:50,BTCUSDT,BUY,0.0,0.000400,31865.24,0.000400,12.75,Filled
,Date(UTC),Trading Price,Filled,Total,Fee,,,
,2021-01-02 23:41:50,31865.24,0.000400,12.74609600,0.00024997BNB,,,
2021-01-02 23:31:02,BTCUSDT,SELL,0.0,0.000400,31969.43,0.000400,12.79,Filled
,Date(UTC),Trading Price,Filled,Total,Fee,,,
,2021-01-02 23:31:02,31969.43,0.000400,12.78777200,0.00025137BNB,,,
2021-01-02 23:30:40,BTCUSDT,BUY,0.0,0.000400,31971.91,0.000400,12.79,Filled
,Date(UTC),Trading Price,Filled,Total,Fee,,,
,2021-01-02 23:30:40,31971.91,0.000400,12.78876400,0.00025119BNB,,,
2021-01-02 23:30:02,BTCUSDT,SELL,0.0,0.000400,31939.38,0.000400,12.78,Filled
,Date(UTC),Trading Price,Filled,Total,Fee,,,
,2021-01-02 23:30:02,31939.38,0.000400,12.77575200,0.00025129BNB,,,
2021-01-02 23:29:57,BTCUSDT,BUY,0.0,0.000400,31956.13,0.000400,12.79,Filled
,Date(UTC),Trading Price,Filled,Total,Fee,,,
,2021-01-02 23:29:57,31956.13,0.000400,12.78245200,0.00025135BNB,,,
2021-01-02 23:29:04,BTCUSDT,SELL,0.0,0.000400,31938.78,0.000400,12.78,Filled
,Date(UTC),Trading Price,Filled,Total,Fee,,,
,2021-01-02 23:29:04,31938.78,0.000400,12.77551200,0.00025098BNB,,,
2021-01-02 23:26:14,BTCUSDT,BUY,0.0,0.000400,31931.20,0.000400,12.78,Filled
,Date(UTC),Trading Price,Filled,Total,Fee,,,
,2021-01-02 23:26:14,31931.20,0.000400,12.77248000,0.00025116BNB,,,
2021-01-02 23:26:12,BTCUSDT,SELL,0.0,0.000400,31915.49,0.000400,12.77,Filled
,Date(UTC),Trading Price,Filled,Total,Fee,,,
,2021-01-02 23:26:12,31915.49,0.000400,12.76619600,0.00025080BNB,,,
2021-01-02 23:24:02,BTCUSDT,BUY,0.0,0.000400,31924.75,0.000400,12.77,Filled
,Date(UTC),Trading Price,Filled,Total,Fee,,,
,2021-01-02 23:24:02,31924.75,0.000400,12.76990000,0.00025095BNB,,,
2021-01-02 22:59:02,BTCUSDT,SELL,0.0,0.000400,32175.70,0.000400,12.88,Filled
,Date(UTC),Trading Price,Filled,Total,Fee,,,
,2021-01-02 22:59:02,32175.70,0.000400,12.87028000,0.00025343BNB,,,
