[2021-01-04T20:44:42.632][0] 	% 
[2021-01-04T20:44:45.033][0] 	% 
[2021-01-04T20:44:47.194][0] 	% 
[2021-01-04T20:44:49.234][0] 	% 
[2021-01-04T20:44:51.32][0] 	% 
[2021-01-04T20:44:53.389][0] 	% 
[2021-01-04T20:44:55.44][0] 	% 
[2021-01-04T20:44:57.45][0] 	% 
[2021-01-04T20:44:59.905][0] 	% 
[2021-01-04T20:45:00.487][0] 	% 
[2021-01-04T20:45:02.521][0] 	% 
[2021-01-04T20:45:04.558][0] 	% 
[2021-01-04T20:45:06.791][0] 	% 
[2021-01-04T20:45:08.928][0] 	% 
[2021-01-04T20:45:11.18][0] 	% 
[2021-01-04T20:45:12.936][0] 	% 
[2021-01-04T20:45:14.982][0] 	% 
[2021-01-04T20:45:17.01][0] 	% 
[2021-01-04T20:45:19.07][0] 	% 
[2021-01-04T20:45:21.117][0] 	% 
[2021-01-04T20:45:23.223][0] 	% 
[2021-01-04T20:45:25.625][0] 	% 
[2021-01-04T20:45:27.641][0] 	% 
[2021-01-04T20:45:29.931][0] 	% 
[2021-01-04T20:45:31.884][0] 	% 
[2021-01-04T20:45:33.894][0] 	% 
[2021-01-04T20:45:36.052][0] 	% 
[2021-01-04T20:45:38.046][0] 	% 
[2021-01-04T20:45:40.249][0] 	% 
[2021-01-04T20:45:42.322][0] 	% 
[2021-01-04T20:45:44.44][0] 	% 
[2021-01-04T20:45:46.407][0] 	% 
[2021-01-04T20:45:48.451][0] 	% 
[2021-01-04T20:45:50.51][0] 	% 
[2021-01-04T20:45:52.657][0] 	% 
[2021-01-04T20:45:54.854][0] 	% 
[2021-01-04T20:45:57.027][0] 	% 
[2021-01-04T20:45:58.898][0] 	% 
[2021-01-04T20:46:00.218][0] 	% 
[2021-01-04T20:46:02.227][0] 	% 
[2021-01-04T20:46:04.237][0] 	% 
[2021-01-04T20:46:06.474][0] 	% 
[2021-01-04T20:46:08.601][0] 	% 
[2021-01-04T20:46:10.778][0] 	% 
[2021-01-04T20:46:12.808][0] 	% 
[2021-01-04T20:46:14.975][0] 	% 
[2021-01-04T20:46:16.993][0] 	% 
[2021-01-04T20:46:19.024][0] 	% 
[2021-01-04T20:46:21.035][0] 	% 
[2021-01-04T20:46:23.216][0] 	% 
[2021-01-04T20:46:25.323][0] 	% 
[2021-01-04T20:46:27.5][0] 	% 
[2021-01-04T20:46:29.577][0] 	% 
[2021-01-04T20:46:31.669][0] 	% 
[2021-01-04T20:46:33.713][0] 	% 
[2021-01-04T20:46:36.121][0] 	% 
[2021-01-04T20:46:38.235][0] 	% 
[2021-01-04T20:46:40.251][0] 	% 
[2021-01-04T20:46:42.614][0] 	% 
[2021-01-04T20:46:44.597][0] 	% 
[2021-01-04T20:46:46.91][0] 	% 
[2021-01-04T20:46:49.038][0] 	% 
[2021-01-04T20:46:51.069][0] 	% 
[2021-01-04T20:46:53.116][0] 	% 
[2021-01-04T20:46:55.241][0] 	% 
[2021-01-04T20:46:57.402][0] 	% 
[2021-01-04T20:46:59.748][0] 	% 
[2021-01-04T20:47:00.491][0] 	% 
[2021-01-04T20:47:02.555][0] 	% 
[2021-01-04T20:47:04.564][0] 	% 
[2021-01-04T20:47:06.626][0] 	% 
[2021-01-04T20:47:08.736][0] 	% 
[2021-01-04T20:47:11.098][0] 	% 
[2021-01-04T20:47:13.333][0] 	% 
[2021-01-04T20:47:15.408][0] 	% 
[2021-01-04T20:47:17.423][0] 	% 
[2021-01-04T20:47:19.428][0] 	% 
[2021-01-04T20:47:21.612][0] 	% 
[2021-01-04T20:47:23.635][0] 	% 
[2021-01-04T20:47:25.8][0] 	% 
[2021-01-04T20:47:27.947][0] 	% 
[2021-01-04T20:47:30.236][0] 	% 
[2021-01-04T20:47:32.464][0] 	% 
[2021-01-04T20:47:34.515][0] 	% 
[2021-01-04T20:47:36.623][0] 	% 
[2021-01-04T20:47:38.759][0] 	% 
[2021-01-04T20:47:40.835][0] 	% 
[2021-01-04T20:47:42.875][0] 	% 
[2021-01-04T20:47:44.925][0] 	% 
[2021-01-04T20:47:47.043][0] 	% 
[2021-01-04T20:47:49.237][0] 	% 
[2021-01-04T20:47:51.279][0] 	% 
[2021-01-04T20:47:53.435][0] 	% 
[2021-01-04T20:47:55.443][0] 	% 
[2021-01-04T20:47:57.508][0] 	% 
[2021-01-04T20:47:59.51][0] 	% 
[2021-01-04T20:48:00.25][0] 	% 
[2021-01-04T20:48:02.266][0] 	% 
[2021-01-04T20:48:04.404][0] 	% 
[2021-01-04T20:48:06.555][0] 	% 
[2021-01-04T20:48:08.601][0] 	% 
[2021-01-04T20:48:10.603][0] 	% 
[2021-01-04T20:48:12.723][0] 	% 
[2021-01-04T20:48:14.801][0] 	% 
[2021-01-04T20:48:16.951][0] 	% 
[2021-01-04T20:48:18.981][0] 	% 
[2021-01-04T20:48:21.254][0] 	% 
[2021-01-04T20:48:23.572][0] 	% 
